,logFC,AveExpr,t,P.Value,adj.P.Val,B
TBC1D27,-1.4129277434405028,-4.4709409131852675,-4.118819496410908,4.152305920097818e-05,9.865911376166039e-05,1.2275874437050316
REEP2,-1.4441139666630558,-0.4775203851272926,-4.118897054600026,4.150934289790738e-05,9.863845796141333e-05,1.1218260306876982
RP11-164P12.3,-1.0979892968667235,-2.940438805225157,-4.120549933800397,4.121804999964617e-05,9.797345470994101e-05,1.211182011985235
TXLNGY,-3.332524128083602,0.06682682189315807,-4.121904742440989,4.0980737063853206e-05,9.745446944545758e-05,1.0994703738219584
ZNF571-AS1,-0.9560396819849106,-1.2358288036970027,-4.124896357493378,4.046130697931318e-05,9.629056218955712e-05,1.1820207538956709
SAPCD1,-1.3363265636178256,-0.011163020981805445,-4.1269418611449975,4.0109757755735016e-05,9.548048090096787e-05,1.1251167482752296
NKD2,-1.7567328172698877,1.1130369034630487,-4.128891020741532,3.977746962932449e-05,9.4742163821751e-05,1.0434765654901064
ADRA2B,-1.4660176864351726,1.0800563902555504,-4.129394992336403,3.969198047037991e-05,9.455608333371369e-05,1.0485013562302292
TG,-1.3582108479614452,0.6371775716168422,-4.1296013989926585,3.965701796083736e-05,9.449032306226793e-05,1.0873378169432613
RP5-849H19.3,-1.7792373936909731,-3.5380222152143395,-4.130567860810951,3.949370143300666e-05,9.413612379618654e-05,1.261480469036984
FAM83G,-1.39678172800055,2.2191914683900276,-4.131333845923507,3.936471664048472e-05,9.385375115024323e-05,0.935452730050061
RP11-297L17.2,-1.5650754403848506,-1.9385961157133427,-4.131690083337284,3.930486608684005e-05,9.372364465056024e-05,1.2331670467224836
RP11-697N18.3,-0.9987792933627684,-2.0648569473358505,-4.131881099174739,3.9272809634241106e-05,9.36617670940862e-05,1.237514301018983
SLC13A4,-1.1310141888905574,-0.48945626689199734,-4.1353560654134,3.869395856672035e-05,9.23484014255508e-05,1.1889337355170522
AC013268.3,-1.4712318057729434,-4.100909503554267,-4.135718442671641,3.863406392317261e-05,9.221548919505969e-05,1.29057327563988
