,logFC,AveExpr,t,P.Value,adj.P.Val,B
MFRP,1.8165610607574267,-2.892670166725028,19.107251550310565,2.286864973278652e-74,6.9496467842213244e-74,158.14618384155915
BOLA2B,0.7402497671978385,2.9679571493081944,19.09701204312545,2.6932995247507444e-74,8.182434379831695e-74,157.5169679326206
RNF122,1.356853719617281,1.9685585495803046,19.096674331831853,2.7078670994283668e-74,8.225514441838286e-74,157.60789686989068
PTCHD2,1.1759709667588165,3.4970622772952056,19.094667063791444,2.796089865653952e-74,8.489930416063625e-74,157.4310592700303
PITX1,1.9859253389762295,-2.7642838114452424,19.094666532169928,2.796113607137174e-74,8.489930416063625e-74,157.9364336482487
SEC22A,0.5524837839159344,3.141850584532558,19.0873629950532,3.1420199359234255e-74,9.533398682082126e-74,157.3464820189314
PSMC2,0.6730756703468463,5.685702689980135,19.083712441220708,3.3306021357705996e-74,1.0099813076571789e-73,157.20743839602466
CIRH1A,0.6434437584978836,4.53752648143461,19.077980400323526,3.649754296038164e-74,1.1059719406424284e-73,157.10486869095604
SCNM1,0.6257863499531813,4.151400555774904,19.075404576998505,3.8029403777878e-74,1.1520624432610481e-73,157.07872914390978
RRM2B,0.7284739927835995,4.833630081729929,19.073288269084784,3.9335873332493655e-74,1.1913005895689011e-73,157.0257915325165
MICALL1,0.8758697771534623,4.119852859360249,19.06451889858562,4.524416295364908e-74,1.3690632174156935e-73,156.90710650034384
EEA1,0.6859024753760394,4.518245110168851,19.06295034055353,4.639071553211211e-74,1.4035571815851536e-73,156.86607751009404
POLR2J,0.7433621621211906,5.299546126540517,19.062529962491176,4.670289078506437e-74,1.4128007163952708e-73,156.8587853318517
NUDT12,0.7406034670560029,3.6174377606733468,19.06122130243301,4.768819233988307e-74,1.442401337701194e-73,156.8886213441126
TCEB3,0.6454634380001902,5.028483263360792,19.060555017024722,4.81977853983854e-74,1.4576070532148838e-73,156.82336072904744
PPP1CB,0.8038568825409165,7.446542316101689,19.049544099957476,5.745111604239081e-74,1.7369531978804015e-73,156.74909329851516
RREB1,0.8994036589281902,2.781021718482073,19.047409266554535,5.9440551883449785e-74,1.7968450510253328e-73,156.74577735500299
RP11-46J23.1,0.9916914293361723,-1.27079795219046,19.044607117194083,6.215654835809409e-74,1.8781452697469938e-73,157.0263937533684
GBP3,1.4849710900149755,2.5170528906671246,19.043849640554463,6.291176444959064e-74,1.9006945971697415e-73,156.71538633888463
HN1,0.9175409525714446,5.483094852937281,19.04320756377205,6.355909037880278e-74,1.9199783854715333e-73,156.55604701239258
MAP2K4P1,1.0516888285469856,-2.729600077470752,19.03476724075515,7.271267134382042e-74,2.194301783644123e-73,156.98095513736627
PSMD2,0.7039207048462917,6.993742137196774,19.034401472478237,7.313780594869105e-74,2.20681763592447e-73,156.4834612687227
CDK2AP2P2,1.2193257977090672,-2.81492001640454,19.03411533639199,7.347211188072238e-74,2.2165897084879107e-73,156.97679066392902
HLA-DQB2,2.061891241693706,-2.6490143357661906,19.032862852061232,7.495348296772504e-74,2.260960043990194e-73,156.94481028478214
TBC1D14,0.7539189925494529,6.648570014992715,19.022155378755944,8.889760020187418e-74,2.6785370610151643e-73,156.2709125276408
PLAGL2,0.6561459723718102,3.55274921402013,19.019391679404272,9.28989875707327e-74,2.798306810222709e-73,156.22861685853167
EZR,1.4461234432243657,6.592856207925304,19.017422297313164,9.585951557453684e-74,2.886664685913879e-73,156.19292058173767
RP11-132F7.2,1.6768654686490931,-2.98914747076074,19.01647056215766,9.732379341493949e-74,2.929927900750136e-73,156.70903798734417
POLDIP3,0.702033075255267,6.243629803970916,19.01411491595169,1.0104473511285995e-73,3.040652951858064e-73,156.12368844016152
NUDCD1,0.6026013543963074,3.015939127306886,19.01276386199363,1.032425447647432e-73,3.105909152099212e-73,156.17180982202618
IMPAD1,0.684885142240506,6.194818599358395,19.01178899733894,1.0485795887722986e-73,3.154059647282072e-73,156.08449904846256
MOSPD3,0.6534240807826981,3.6802858727387617,19.011173205306203,1.0589133821345768e-73,3.184691748734863e-73,156.08790130001384
RBM15,0.64100730888743,1.9045057896413047,18.99626432908994,1.3426027055087955e-73,4.036174427111627e-73,156.01654563967466
UBE2J1,0.6420812008895895,5.336565344516717,18.991590620414946,1.4462810138097908e-73,4.3472397451345837e-73,155.73194606336105
STX8,0.6479666531854811,4.192171884699481,18.990429115217704,1.4732630957333553e-73,4.4277156637592997e-73,155.7256016020803
RPL27,0.8521033122198123,7.591631902519145,18.987438486200173,1.5450702635919756e-73,4.642866150235966e-73,155.77032915970153
UBE2H,0.7092894170310755,6.990150298819236,18.98638175816828,1.5712693992605733e-73,4.720256940009084e-73,155.7204114397096
PVT1,1.463221284114775,-0.8458792107693685,18.970590274485964,2.0199654468202497e-73,6.063895706357437e-73,155.81769225160767
ZNF252P,0.6469234501358772,4.300836064983111,18.970392255311555,2.0263363943157636e-73,6.081301094604936e-73,155.40267220909607
HMGXB4,0.6329984318938919,3.880691362441142,18.969832575330877,2.044451818028857e-73,6.134800500607653e-73,155.41709772980056
DUS3L,0.6821057286403605,4.005966744611075,18.963407290542268,2.2643657526231196e-73,6.790857845568093e-73,155.30711784382274
SLC35A5,0.7156468949481347,5.0516313646555515,18.96282890368872,2.2852837265380668e-73,6.852622921771937e-73,155.27091685977902
GSTK1,0.7845282931131283,5.332766324023743,18.958217268316602,2.4591151985945724e-73,7.371789058122721e-73,155.20232548624597
ARPC4,0.7349472722914419,6.345832637512867,18.953368615473547,2.6561244610265877e-73,7.958999708386699e-73,155.1643001538366
YIPF3,0.6451321786929762,6.137856676670963,18.943811400293345,3.091745731681245e-73,9.260404493635924e-73,155.0032324743833
HLA-DQA2,2.4574956114809625,-1.7964181944254007,18.942647248057497,3.149460679983167e-73,9.430611067005597e-73,155.44919786885768
PXMP4,0.7103821218583719,3.7015778142157716,18.942176666427994,3.173094582770976e-73,9.498699578124314e-73,154.99146453321939
CASP8,0.9467168541014669,1.3224864651661252,18.941527091313695,3.2060090231777586e-73,9.594523267304988e-73,155.19756748399504
WDR89,0.5476260686003389,2.9351505932272954,18.93917241715703,3.3282035500712994e-73,9.956000106731041e-73,155.01207123140776
PXN-AS1,0.6898606937153076,1.9153526170992534,18.939032967537106,3.335584249948193e-73,9.97667280169794e-73,155.10783010643735
PRDM5,0.8853148807963207,2.1346026487082765,18.9376753267441,3.4082995668095245e-73,1.0192726811026455e-72,155.0664649823234
CCDC109B,1.590980887266067,1.565638250838442,18.935127380311172,3.5490642216412684e-73,1.0610702286306931e-72,155.07611629773243
MGAT2,0.87804379019365,3.113394097864076,18.933858222499495,3.621329989605468e-73,1.082523189541688e-72,154.91056287699124
EIF3G,0.696100405360597,6.094141880404258,18.91371342784541,4.9861800541299776e-73,1.4896783111754685e-72,154.5245081709231
CASQ1,1.179029346979358,2.440791376777453,18.91184143455559,5.136537635054788e-73,1.5339516654376475e-72,154.6282357415282
RPS3A,0.9113320651177297,8.993350993323391,18.91081706220871,5.2207210903038995e-73,1.5586532571572557e-72,154.63897829211083
HEXA,0.6734407945562042,5.43561450043538,18.902158767783938,5.989542026816762e-73,1.7871803289744082e-72,154.31686412409678
THAP8,0.615395813703079,2.6980018563396326,18.900885564583646,6.111749501966767e-73,1.8233887094623833e-72,154.4293908270204
DUSP12,0.6295415519976597,3.353992125270831,18.89796701379108,6.401354223127863e-73,1.9089849128172964e-72,154.3201237194714
TP53TG1,0.8247127738320645,2.6670829968140928,18.89779028109697,6.419324499393387e-73,1.914075026669805e-72,154.3834976052114
LINC00662,0.6096588690776601,2.8202285156054305,18.89674483199906,6.526660590965313e-73,1.9458065219722008e-72,154.35166954936577
SF3A2,0.7847346682288432,5.211867887906722,18.896158005462247,6.587692743061389e-73,1.963726356648843e-72,154.2168516988174
PVRL3,1.1224492493749647,2.7398407998086927,18.89265409420662,6.964148032090377e-73,2.0753610877043723e-72,154.29497482419168
CASP2,0.7429659459317128,4.079393533210968,18.889426181744785,7.329915144582593e-73,2.1837488950744521e-72,154.13098364423232
PDE12,0.5715580256342623,4.343317301348889,18.884493822063675,7.926175604995103e-73,2.360725825273341e-72,154.04031089829232
NFATC2,1.2100522705417969,2.2117148057638123,18.88423367942085,7.958933840151626e-73,2.3701499526500924e-72,154.21333598877285
GOLPH3,0.6495911469600975,5.514279117000125,18.88177054473159,8.275874939938601e-73,2.464188488568897e-72,153.9966062677509
SMIM15,0.6722219025673626,4.542976486118222,18.88095759277262,8.383220351188272e-73,2.4958010995045364e-72,153.97808982785205
RP11-327E2.5,0.905241793479191,-1.7086586076602068,18.880725182632315,8.414163277298363e-73,2.50466195326339e-72,154.46245153567222
RP1L1,1.2374023674855992,-2.956436393518877,18.87866213044943,8.693880597939786e-73,2.587563144313907e-72,154.52335062784502
CUEDC1,0.8155126195853475,5.479682630467565,18.875667731354884,9.116460637459071e-73,2.7129554177953694e-72,153.89906964657447
MTERF1,0.5809862429094275,2.637226820285205,18.872366012120033,9.606204302647698e-73,2.858296870371498e-72,153.98438111549498
NCF1C,1.3767872688408178,-0.3428630104129337,18.871917823129007,9.674677005337233e-73,2.8782672570748907e-72,154.2177971977373
ZNF48,0.6500101296824607,3.630568257131785,18.865874840588674,1.0646882204293621e-72,3.167059536862958e-72,153.78935317765445
EIF3I,0.7124722555207903,6.239856962083433,18.86523708792433,1.0755008292311212e-72,3.19877484966919e-72,153.76426690390502
CLPP,0.6659669054270205,4.656727785867997,18.854067310560513,1.283667536005865e-72,3.8157696102501746e-72,153.5507162835804
SCAMP4,0.7070677932992497,5.886532656813378,18.853369277664115,1.2979370250043666e-72,3.8576462097126417e-72,153.5612650602815
AP000275.65,0.9275045408337843,0.842612878651145,18.85214434424928,1.323361248851935e-72,3.932109354616465e-72,153.82109661729913
RP11-844P9.2,1.381820917495955,-0.366480927569688,18.847264514577574,1.429674090039143e-72,4.2474026465025734e-72,153.8300214709202
NFKBIE,0.7390773867499933,3.0891861395013307,18.845671610338368,1.466189832485643e-72,4.3552772983729e-72,153.51791355719365
RPLP2,0.8897678016456014,7.614894996846218,18.839740315424354,1.6105329912032023e-72,4.782037180622517e-72,153.43333603708504
GTF2H2B,0.9552866973258825,1.8764692568757013,18.839620037539934,1.613602220964483e-72,4.790480327889941e-72,153.53885963754044
EMC1,0.6636398159928971,5.398533207884614,18.836912226453045,1.6842654980014253e-72,4.998867970648246e-72,153.28448049623688
ANKRD44,0.5342951979123738,4.006943871307721,18.836238753079094,1.7023147923718165e-72,5.051731594810086e-72,153.2946798757274
TAS1R1,1.268177228951853,-2.266486470628199,18.835858787836827,1.7125830005566427e-72,5.081492780656395e-72,153.7965169294895
MRPL36,0.629164299855359,3.413828870934251,18.832481810396956,1.8066012516532049e-72,5.3589609794358e-72,153.27989589650898
MRPL54,0.6874368482568185,3.9788298200028454,18.826937847282995,1.9722460005923445e-72,5.844599449193592e-72,153.14959281151033
CTD-2256P15.2,0.666530944563769,-0.32870251793487315,18.82596462641726,2.002849877121967e-72,5.934463196771077e-72,153.49109255175915
CTD-2231E14.8,0.6226422533364024,3.195900250918152,18.825533436343058,2.0165601000624353e-72,5.974252790512954e-72,153.1898790142462
CH17-353B19.1,1.021268182913696,-0.4123041819033873,18.81489973822258,2.385956414583157e-72,7.065666407973866e-72,153.32256044553415
SNAP29,0.592588641575742,4.83988806051669,18.808418780875538,2.643454130947574e-72,7.823842838486358e-72,152.82818501021026
