"Sample ID","Biosample type","Biosample name","Tissue type","Cancer type","Region number"
"Sample_0470","Other","nucleus accumbens","Brain","Other","21282"
"Sample_0471","Other","medial orbitofrontal cortex","Brain","Other","32170"
"Sample_0472","Other","primary motor cortex","Brain","Other","14730"
"Sample_0473","Other","putamen","Brain","Other","27790"
"Sample_0474","Other","posterior superior temporal cortex","Brain","Other","21076"
"Sample_0475","Other","ventrolateral prefrontal cortex","Brain","Other","19893"
"Sample_0476","Other","anterior cingulate cortex","Brain","Other","17020"
"Sample_0477","Other","dorsolateral prefrontal cortex","Brain","Other","36682"
"Sample_0478","Other","hippocampus","Brain","Other","26481"
"Sample_0479","Other","insula","Brain","Other","70417"
"Sample_0480","Other","inferior temporal cortex","Brain","Other","6621"
"Sample_0481","Other","mediodorsal thalamus","Brain","Other","26530"
"Sample_0482","Other","nucleus accumbens","Brain","Other","60630"
"Sample_0483","Other","medial orbitofrontal cortex","Brain","Other","18153"
"Sample_0484","Other","putamen","Brain","Other","71933"
"Sample_0485","Other","primary visual cortex","Brain","Other","25578"
"Sample_0486","Other","posterior superior temporal cortex","Brain","Other","26327"
"Sample_0487","Other","ventrolateral prefrontal cortex","Brain","Other","59572"
"Sample_0488","Other","anterior cingulate cortex","Brain","Other","26978"
"Sample_0489","Other","dorsolateral prefrontal cortex","Brain","Other","40324"
"Sample_0490","Other","hippocampus","Brain","Other","38116"
"Sample_0491","Other","insula","Brain","Other","31693"
"Sample_0492","Other","inferior temporal cortex","Brain","Other","19619"
"Sample_0493","Other","medial orbitofrontal cortex","Brain","Other","37017"
"Sample_0494","Other","putamen","Brain","Other","44318"
"Sample_0495","Other","primary visual cortex","Brain","Other","18270"
"Sample_0496","Other","posterior superior temporal cortex","Brain","Other","10776"
"Sample_0497","Other","ventrolateral prefrontal cortex","Brain","Other","37006"
"Sample_0498","Other","anterior cingulate cortex","Brain","Other","48269"
"Sample_0499","Other","dorsolateral prefrontal cortex","Brain","Other","59524"
"Sample_0500","Other","hippocampus","Brain","Other","37188"
"Sample_0501","Other","insula","Brain","Other","30365"
"Sample_0502","Other","inferior temporal cortex","Brain","Other","35219"
"Sample_0503","Other","medial orbitofrontal cortex","Brain","Other","29850"
"Sample_0504","Other","primary motor cortex","Brain","Other","65374"
"Sample_0505","Other","posterior superior temporal cortex","Brain","Other","25793"
"Sample_0506","Other","ventrolateral prefrontal cortex","Brain","Other","51108"
"Sample_0507","Other","anterior cingulate cortex","Brain","Other","30850"
"Sample_0508","Other","dorsolateral prefrontal cortex","Brain","Other","18195"
"Sample_0509","Other","insula","Brain","Other","16562"
"Sample_0510","Other","inferior temporal cortex","Brain","Other","18566"
"Sample_0511","Other","mediodorsal thalamus","Brain","Other","45517"
"Sample_0512","Other","primary motor cortex","Brain","Other","62818"
"Sample_0513","Other","primary visual cortex","Brain","Other","20579"
"Sample_0514","Other","ventrolateral prefrontal cortex","Brain","Other","52110"
"Sample_0515","Other","anterior cingulate cortex","Brain","Other","33691"
"Sample_0516","Other","basal amygdala","Brain","Other","23553"
"Sample_0517","Other","dorsolateral prefrontal cortex","Brain","Other","15292"
"Sample_0518","Other","hippocampus","Brain","Other","22374"
"Sample_0519","Other","insula","Brain","Other","6977"
"Sample_0520","Other","inferior temporal cortex","Brain","Other","25756"
"Sample_0521","Other","mediodorsal thalamus","Brain","Other","22960"
"Sample_0522","Other","medial orbitofrontal cortex","Brain","Other","15135"
"Sample_0523","Other","primary motor cortex","Brain","Other","13808"
"Sample_0524","Other","putamen","Brain","Other","28834"
"Sample_0525","Other","primary visual cortex","Brain","Other","19920"
"Sample_0526","Other","posterior superior temporal cortex","Brain","Other","19981"
"Sample_0527","Other","ventrolateral prefrontal cortex","Brain","Other","8080"
"Sample_0528","Other","anterior cingulate cortex","Brain","Other","24803"
"Sample_0529","Other","basal amygdala","Brain","Other","43906"
"Sample_0530","Other","dorsolateral prefrontal cortex","Brain","Other","25534"
"Sample_0531","Other","hippocampus","Brain","Other","69414"
"Sample_0532","Other","insula","Brain","Other","24343"
"Sample_0533","Other","inferior temporal cortex","Brain","Other","27190"
"Sample_0534","Other","mediodorsal thalamus","Brain","Other","69944"
"Sample_0535","Other","medial orbitofrontal cortex","Brain","Other","41994"
"Sample_0536","Other","primary motor cortex","Brain","Other","27019"
"Sample_0537","Other","putamen","Brain","Other","68327"
"Sample_0538","Other","primary visual cortex","Brain","Other","20979"
"Sample_0539","Other","posterior superior temporal cortex","Brain","Other","39136"
"Sample_0540","Other","ventrolateral prefrontal cortex","Brain","Other","40479"
