,logFC,AveExpr,t,P.Value,adj.P.Val,B
CYYR1,1.5584475481165323,2.118951444130491,14.08800848350925,5.236082636227441e-38,3.830492637014453e-37,75.11251269609397
CANT1,0.7548342056349302,5.004148862954235,14.084879563511226,5.403100778791163e-38,3.951299639865975e-37,74.74741862197699
KARS,0.829061492754195,6.083864622486496,14.083772764420349,5.46344361505981e-38,3.994037808809649e-37,74.75780335232002
RNASEH2B,0.8712868035695074,3.0633475890869746,14.081463101063369,5.591539674088242e-38,4.083418211921952e-37,74.89751744557036
CBX2,2.085280471507552,0.9796865127262827,14.07512059276141,5.958912882131971e-38,4.3486812808692766e-37,75.1268064931938
RPL14,1.0665384873284687,8.491997337955109,14.073083637369297,6.08192968162824e-38,4.435373927195762e-37,74.7990240841805
RP11-1094M14.11,1.2410965490315498,1.5117738838444112,14.071254359564064,6.194560818467067e-38,4.515944493934877e-37,75.02751926633908
LANCL1,0.9113724648425361,4.848432178622057,14.067313393856267,6.444327986973728e-38,4.696399053102332e-37,74.57415074248921
SHARPIN,1.0743354871281268,5.656036567902862,14.067257698078743,6.447928847707174e-38,4.6973933259935405e-37,74.5778063781998
UCK2,1.1955233501009421,4.2912035555213945,14.064841941064978,6.606059010405041e-38,4.8109243202336015e-37,74.57533722653662
PLA2G7,2.2640962352343634,1.1908447505531519,14.059477930039114,6.97113678170302e-38,5.075035903851249e-37,74.94783153902554
CPXM1,2.7638950590665696,-0.2701247322854057,14.057161796970925,7.134928393889813e-38,5.192477514097981e-37,75.05368723240831
TPRKB,0.7410279759288096,3.3824412982302032,14.050411270045988,7.634526529299328e-38,5.550292858943364e-37,74.5369144261927
EIF3I,0.9008479804150475,6.64755278047974,14.033170358873111,9.074537904167307e-38,6.574422890694237e-37,74.27969735764255
TMEM164,1.501446851113515,3.073667938061995,14.032558122836022,9.130375277034216e-38,6.612595584260333e-37,74.40734358079939
RPL27A,1.1495389087817909,8.872679723692807,14.026424273628129,9.70905756247023e-38,7.026855133858106e-37,74.3600486049628
CTHRC1,3.180254304264654,0.401216981976185,14.013149082710472,1.108973417700799e-37,8.012304331602988e-37,74.5636320981238
MCTS1,0.9250315516183121,4.542163187917215,14.00466503711259,1.2072938853245536e-37,8.707690066439423e-37,73.95927734354947
COX6C,1.3696031503193336,7.172176361881066,14.003934459357861,1.2161563188571094e-37,8.768190467048344e-37,74.01848950713482
RAB7B,1.954467688101465,0.5445399482284117,14.003904837174247,1.2165170223767497e-37,8.768190467048344e-37,74.45888465464536
UQCRB,1.1886523049613054,7.347832256606216,14.003405137427533,1.2226178699290116e-37,8.809140007588005e-37,74.02430304235872
LAMTOR2,1.1223335861872243,5.806355356074717,14.001447423209326,1.2468149528666174e-37,8.98040276236542e-37,73.92519090727113
CTSD,1.2070686591454773,10.11987453787713,13.999665421178593,1.269255108650784e-37,9.132636192871673e-37,74.17981993164723
HS3ST2,2.563803375832077,-0.8561648186117123,13.997904545833679,1.2918247289807552e-37,9.291847528350275e-37,74.49956830014827
CLSPN,2.7144269532735277,-0.8959058773800498,13.994758402411447,1.333150422674727e-37,9.58581250511376e-37,74.47047426572198
RP11-730G20.2,1.2263458561002625,-0.11258798098639371,13.984525460396126,1.476898358958854e-37,1.059764135060226e-36,74.31898076423798
DNASE2,1.235351504333555,5.225558495455972,13.980996318441468,1.5299767211032446e-37,1.0974761295536696e-36,73.70979639944804
CCNA2,2.027858604866002,2.3363854329144353,13.978788770170022,1.5641408698951037e-37,1.1208342098398793e-36,73.98987738544716
TIFAB,3.048673783822215,-2.580396018941332,13.976056057462541,1.6074878376549186e-37,1.1515029691086716e-36,74.36900746166155
PYGB,1.2430407051540824,5.469984029029609,13.975864858476161,1.6105651336637482e-37,1.1533139959883976e-36,73.66143812911073
P4HA2,1.4595824980812178,4.334121024809467,13.971167413257255,1.6880419165379142e-37,1.2083825621351674e-36,73.6374469446407
BTG3,1.1521749573416997,2.926712854147116,13.969918298347848,1.709262241073249e-37,1.2219072446991644e-36,73.80670902494735
SAYSD1,0.913850808535789,3.523936481645702,13.966971723148427,1.7603791396853979e-37,1.2580212000956928e-36,73.68363429228268
P2RY8,1.8021933544134285,1.5643220928056496,13.961761696658787,1.8545202080943256e-37,1.3243960534037784e-36,73.92926365106156
NSUN5,0.8095138567480626,4.3174656602249355,13.952352398248648,2.037436307521994e-37,1.4525551516254053e-36,73.45115937799488
CCDC86,0.9504253917041461,3.9447223196638914,13.94962415105921,2.0937612911176567e-37,1.4911925533178752e-36,73.45743927883007
CHCHD4,0.7332657509134886,3.4919645851594394,13.946578744246933,2.158469525384166e-37,1.5367571336150384e-36,73.48515707921007
NDUFA2,1.112589955076805,5.963836713729425,13.944404178239685,2.205890800394985e-37,1.5699872748456753e-36,73.36228139048427
IL27RA,1.4891844747783727,1.7946888916168542,13.944335643704441,2.207402114724752e-37,1.5705307119093485e-36,73.7256663335997
NSMCE1,1.013194514127398,5.056862315422156,13.943937239902823,2.216208127711526e-37,1.5762620828420313e-36,73.34057907928113
ZMPSTE24,0.7575819284285235,5.426528920934838,13.943291940727208,2.2305456958665606e-37,1.5859225203211026e-36,73.33621662002452
SNX17,0.5747389486336898,6.320636869345704,13.927000288941441,2.6248142752001e-37,1.8643548942180487e-36,73.20456005692782
COMMD9,0.7742488077180854,4.664486542616216,13.920575559154093,2.798757109240852e-37,1.98588836369546e-36,73.11621081837922
BDKRB2,2.661168587956308,0.8672668169499654,13.919060496385557,2.841422811413659e-37,2.0148009219487198e-36,73.5838020357539
RPLP0P2,2.98856864506967,-3.4583142630148984,13.915718194938899,2.937852473143733e-37,2.0824743669739396e-36,73.80585538997144
HOXD1,3.2615481298213256,-3.5547349127759804,13.914585426057325,2.971269083120228e-37,2.104740794360005e-36,73.79805648173146
NME6,0.7381744759473716,2.951553416430994,13.903544224200479,3.3175001131902432e-37,2.3452526044205544e-36,73.14207599225915
ZP3,2.0914095210047057,0.31240344390843594,13.90262979580763,3.347917319086194e-37,2.365959200967945e-36,73.471873873777
ZNF706,0.9661199356997328,5.600466115096087,13.892626151534733,3.6993927849016392e-37,2.6099545401843847e-36,72.83559467409779
RPL35A,1.0225613920541372,7.698657486600386,13.89217649432163,3.7160277564624768e-37,2.6208103078905777e-36,72.94010438628871
AAMDC,1.2112121548596426,3.6111602482812297,13.89016887185023,3.791213804870805e-37,2.672939360312236e-36,72.9071045842614
CDC123,0.7153755553999668,4.973077117349411,13.88494348956949,3.994092943085793e-37,2.8122002709899736e-36,72.75437362449432
TBL2,0.7262840845453216,4.668822445315458,13.884627694788074,4.006695043649257e-37,2.820127882096694e-36,72.75854935747893
LAMTOR4,1.138798007720558,5.338481190226653,13.882092330787618,4.109318542412185e-37,2.8884878629947494e-36,72.72619956921734
TDRKH,1.426186665568684,2.6355465589540366,13.879223079727153,4.228620905842406e-37,2.969365592959146e-36,72.95204650540958
MTND4P12,4.340886459977635,3.087120715448903,13.87383588760601,4.462024313907164e-37,3.131169283828673e-36,72.82468015546017
YBX1,0.8809452883901967,7.852434787369855,13.864762422014653,4.884528103010233e-37,3.424223756592921e-36,72.67833656339016
RP11-443P15.2,4.431528561262657,-0.8437820112636816,13.860879784557637,5.07729305800054e-37,3.554612869906178e-36,73.13792542974353
MPZL1,1.0528239359143194,5.447396214214095,13.860662279981351,5.088313301830907e-37,3.5611410955799584e-36,72.51481609916289
SEMA3G,1.7419758736035482,2.3081857694110743,13.857874316523768,5.231700129416413e-37,3.659054206398033e-36,72.79184035532403
CSDE1,0.7548573073802993,7.81011614817855,13.85106584387914,5.59902222974927e-37,3.913353207701295e-36,72.53939686297662
