,logFC,AveExpr,t,P.Value,adj.P.Val,B
CD53,-1.159323492216532,3.608832813966743,-6.005909762583877,8.227375917681252e-09,2.680218123520057e-08,8.829224993394167
NTF3,-1.3622337498753674,-2.297613571274757,-6.006414724039415,8.20553979841446e-09,2.673543974752956e-08,9.240537242022182
IGSF1,-2.1690252294474344,-0.9261504735212566,-6.006854523338441,8.18656773770488e-09,2.668239596588685e-08,9.145049633068103
SAMSN1,-1.1654825109870595,1.3865101934524002,-6.007466940534593,8.160220815363124e-09,2.660527256956303e-08,8.993323205342882
HEPH,-1.3899997130816821,4.874439291972583,-6.009139088822572,8.088705095550264e-09,2.638512442144033e-08,8.826331947442567
ESRRG,-1.694327079592403,2.456524992331727,-6.009565121850023,8.070582510742645e-09,2.6330341854913008e-08,8.925182380598802
AC079779.7,-1.7134436253069456,-3.118365200211026,-6.010670852346006,8.023732265570761e-09,2.618180159677518e-08,9.31866905604867
ABTB1,-0.8661524721199987,4.91718226633096,-6.010936974366623,8.012496389094373e-09,2.6149442858251194e-08,8.836481101484775
TMOD1,-1.1990282724869115,6.034873971679667,-6.018146833621732,7.713885778207744e-09,2.5195643068283424e-08,8.91863858200512
FBXW10,-1.4398743894907464,-0.4967882979667214,-6.018658984583985,7.693093570561893e-09,2.513187110238108e-08,9.175197901359187
RP11-468E2.2,-1.7895440547933503,-0.6018534503400063,-6.020864417872311,7.604183066539087e-09,2.4849607802176774e-08,9.193902227410392
MALRD1,-1.5484379413462688,-1.3245734178236257,-6.021446672064782,7.580878290317379e-09,2.4781621099762764e-08,9.248849499862171
RP13-890H12.2,-1.1133106276588007,-1.4718981816233032,-6.027383162778548,7.347226157247446e-09,2.4029708647932047e-08,9.290000200226181
TMBIM1,-1.046501183846658,6.89860170344552,-6.028946926678746,7.286861473367169e-09,2.3836213694151386e-08,9.023011047350991
MAPK11,-0.9951897208361165,2.706601993353,-6.030141932877115,7.241059299509642e-09,2.369029848063701e-08,9.012586618969056
ADORA3,-1.2279405746852048,2.413511788938177,-6.03068014572654,7.22052288916826e-09,2.3627009777481418e-08,9.037193756918263
RGS5,-0.6901347028667457,-0.2981599374621255,-6.031184428136599,7.201332916857457e-09,2.357589139733532e-08,9.226131706579608
TTYH3,-0.9587502722748313,5.796874408600627,-6.031365127751592,7.1944687331188405e-09,2.355730982765358e-08,8.974620497065926
POU5F1P3,-0.9588694971323832,-2.306979794351919,-6.033472418733972,7.1148912416702e-09,2.3312146955971632e-08,9.380280328933608
ALAD,-1.1496117881173253,7.724597476015349,-6.041240185225489,6.82893424363184e-09,2.2404826797668647e-08,9.135601238853265
MPZ,-1.1909446834267745,1.38256184538696,-6.042803577987253,6.77275673677966e-09,2.22278736412555e-08,9.17568158833561
SNHG3,-0.9959619825928354,3.9937065451213276,-6.045319618669697,6.683296683074343e-09,2.194516981092972e-08,9.016283931718228
