transcriptclusterid,NM,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
7983890,NM_001018090,GCOM1,1.180192101,6.859507345,6.047709087,1.54376E-07,1.10949E-06,6.720893164
7997336,NM_020927,VAT1L,1.179393245,7.798527612,5.076633787,5.11543E-06,2.69209E-05,3.278494066
8166784,NM_004615,TSPAN7,1.179281294,9.782873907,8.067586924,9.01708E-11,1.29919E-09,14.10841876
7933933,NM_021800,DNAJC12,1.179148025,6.638291734,10.80488036,5.56796E-15,2.12367E-13,23.77494951
8175256,ENST00000441492,MIR503HG,1.178752155,8.37025187,8.375112735,2.93152E-11,4.70867E-10,15.22747671
8100557,NM_001010874,TECRL,1.178567436,4.174168682,3.399870179,0.001291372,0.003798345,-2.059298646
8170704,NM_000033,ABCD1,1.177976765,7.022571006,9.172758314,1.64589E-12,3.48622E-11,18.09827351
7898337,NM_001145277,NECAP2,1.177505956,9.104126514,18.37658414,1.38024E-24,7.22318E-22,45.76338707
7899774,NM_004964,HDAC1,1.176880037,9.654227996,14.18228859,1.2256E-19,1.72919E-17,34.46607928
8166098,NM_001195328,RAB9A,1.176768952,7.219460518,11.42902069,6.87629E-16,3.3279E-14,25.86212929
