"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"POLR2KP2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"POTEM",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"PPIAP14",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"PPIAP26",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"PRSS33",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"PSMC1P11",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RAD51AP1P1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RASSF10",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RNA5SP261",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RNA5SP271",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL10P12",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL11P5",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL12P48",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL13AP2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL13P6",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL17P22",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL21P104",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL21P17",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL23AP57",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL26P37",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL7AP4",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPL7P38",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPS16P8",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPS2P6",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPS4XP15",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RPS7P11",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"SERBP1P3",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"SLC17A1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"SLC22A6",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"SPC25",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"SSX6P",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"ST13P14",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TAS2R16",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TEX19",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TMA16P2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TPM3P3",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TRAV17",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TRAV2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TRBV23OR9-2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TRGV4",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"TRIM63",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"UCMA",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"VN1R46P",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"XG",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"YBX1P8",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"ZEB2P1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"ZNF861P",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"RNF208",6.19565771054613,0.0064840042596749,0.905346672182462,0.00716190212976022,0.994285677715363,0.999595185194994
"GNL1",0.699899610502736,0.0211361898549877,2.96434085699507,0.00713014827735207,0.994311012977055,NA
