Raw counts of sequencing reads (TPM)																
		Sample name														
		Donor1_M0	Donor1_M1	Donor1_M2IL10	Donor1_M2IL4	Donor1_TAMlike	Donor2_M0	Donor2_M1	Donor2_M2IL10	Donor2_M2IL4	Donor2_TAMlike	Donor3_M0	Donor3_M1	Donor3_M2IL10	Donor3_M2IL4	Donor3_TAMlike
		Sample number														
		Sp1_M0	Sp1_M1	Sp1_M2IL10	Sp1_M2IL4	Sp1_TAMlike	Sp2_M0	Sp2_M1	Sp2_M2IL10	Sp2_M2IL4	Sp2_TAMlike	Sp3_M0	Sp3_M1	Sp3_M2IL10	Sp3_M2IL4	Sp3_TAMlike
ID	symbol															
ENSG00000005884	ITGA3	1.62	0.54	0.87	0.76	3.12	24.18	1.93	3.29	19.88	4.9	57.09	5.05	14.63	59.39	16.38
ENSG00000005889	ZFX	15.78	20.02	16.24	18.32	19.91	11.11	26.79	9.95	9.21	16.08	17.33	22.69	8.65	9.36	7.61
ENSG00000005893	LAMP2	378.09	390.34	270.61	318.61	344.56	467.97	429.79	381.32	409.43	466.17	289.24	406.82	266.58	222.97	304.64
ENSG00000005961	ITGA2B	0.01	0	0	0.01	0.85	0	0.01	0.02	0.01	0.24	0.15	0.08	0.01	0	0.08
ENSG00000005981	ASB4	0.13	0.12	0.15	0.1	0.25	0.09	0.48	0.16	0.12	0.14	0.17	0.22	0.09	0.19	0.11
ENSG00000006007	GDE1	88.5	110.42	79.86	81.63	101.63	96.59	41.06	85.89	67.43	116.22	74.86	55.09	91.49	54.84	94.04
ENSG00000006015	C19orf60	20.66	18.57	25.31	24.1	27.57	30.2	6.82	30.3	24.2	33.08	40.74	16.28	39.59	22.85	38.42
ENSG00000006016	CRLF1	0.2	0.6	0.34	0.48	0.56	0.13	0.49	0.31	0.64	0.51	0.46	0.36	0.36	0.44	0.39
ENSG00000006025	OSBPL7	3.44	1.83	1.72	1.68	1.64	2.03	0.69	1.67	0.62	2.68	1.76	0.73	0.91	0.57	4.51
ENSG00000006042	TMEM98	0.05	0.02	0.18	0.03	0	0.02	0.01	0.01	0.01	0.03	0.02	0.03	0.02	0.02	0.01
