"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EMP2",1463.01519892902,1.05861358934319,0.0680865211803454,15.5480640072529,1.63988422898347e-54,2.07259233136739e-52
"ARMC9",403.335928277473,-1.29836989041235,0.0835356748967257,-15.5426994756133,1.7831146334412e-54,2.23987466850744e-52
"NLRP3",123.670930247164,-2.02898905133206,0.130686051983863,-15.525674090932,2.32547478931209e-54,2.90346097785566e-52
"NGFR",875.584152552827,-1.3210777279444,0.0853633914445037,-15.4759283293384,5.04403550543752e-54,6.25976960527219e-52
"WIPI1",746.274647997121,-1.43208971258791,0.0926252229119486,-15.4611202819915,6.3484745774691e-54,7.83143262098448e-52
"CDC45",1638.95426139112,1.23317307606883,0.0797617471597212,15.4607079205453,6.38924748845758e-54,7.83481473272111e-52
"DNMBP",1494.67694851655,-1.19568551754694,0.0776491255403479,-15.3985702894444,1.67328147058601e-53,2.03972021157055e-51
"NOTUM",504.64871166769,1.97424474184191,0.128282656377439,15.3898024689573,1.91616340285698e-53,2.3220518977798e-51
"CKM",27.0464962138596,-4.4996340949527,0.292858400704592,-15.3645382346109,2.83048125994755e-53,3.40998505474733e-51
"RACGAP1",2636.05138488919,1.52021738382616,0.0990408497696574,15.3493976208986,3.57490426073296e-53,4.28177922531161e-51
"ARHGEF39",777.875163108875,1.36901704111678,0.0892927525771116,15.3317822735336,4.68941078452405e-53,5.58419373248439e-51
"DOCK8",79.0807104084642,-2.65397834811874,0.173137848122445,-15.3287012452749,4.9171994573347e-53,5.82179459888231e-51
"HBEGF",1117.56174776866,-0.97495750897805,0.0636642188769174,-15.3140575063513,6.15983030170469e-53,7.25135223116676e-51
"ENC1",5150.0604469478,-1.88838394599958,0.123425358108691,-15.2998052826116,7.66857149689133e-53,8.97615007996922e-51
"FDXR",3468.68417649867,-2.71527751036158,0.177983983063636,-15.255740789837,1.5077411486438e-52,1.75485736741305e-50
"TRIP13",1490.53042183779,1.13402097997559,0.0743568374411631,15.251065255067,1.61968933608983e-52,1.87456292206666e-50
"ZWINT",2546.65750258126,1.90786923420397,0.125225753835039,15.2354382048059,2.0574306811275e-52,2.36788432748088e-50
"HOXC13",890.602025484235,-1.05767726637117,0.0697998704078241,-15.1529975656317,7.23882414128837e-52,8.28483422970454e-50
"EPG5",732.00126629892,-1.54090801018272,0.102109791450342,-15.0906978488159,1.86459729601942e-51,2.12224137543073e-49
"FAXDC2",100.734350208245,-2.07348616343551,0.137647470518921,-15.0637433119448,2.80447673156808e-51,3.17445193115572e-49
"NREP",2548.70561107787,1.2489313345259,0.0829232517305804,15.0612923210453,2.91041704280188e-51,3.27636620211811e-49
"TRIO",2124.58239398174,-1.52232383218519,0.101126840699162,-15.0536081386533,3.26907312690995e-51,3.66011823301478e-49
"TSPAN5",912.171042588985,-1.48315952422331,0.0986684603571868,-15.0317489383555,4.54836577193814e-51,5.06491260906474e-49
"MLLT11",1849.14246450076,1.08722055878628,0.072694938858724,14.9559319514553,1.4247313168361e-50,1.57800483108283e-48
"IGDCC4",221.521153365138,-2.33075619389563,0.156027635915818,-14.938098499122,1.86213334843052e-50,2.05143364230038e-48
"SLC38A3",265.938735609179,-4.83676940495529,0.324418470155455,-14.9090444900921,2.87842170278892e-50,3.1541683776146e-48
"PAPLN",428.869362939009,-1.95561896331189,0.131320246823073,-14.891983609707,3.71579595251304e-50,4.05021758823921e-48
"SERPINA1",5615.18439681757,-1.81562680076511,0.122699585457026,-14.7973344327312,1.52403583907739e-49,1.65245591162281e-47
"RBFOX3",136.77905526291,-2.85978438762081,0.193273105218099,-14.7965977179995,1.54081648319822e-49,1.66190368431238e-47
"EBP",1570.9549554312,1.40973710250037,0.0954464774740731,14.7699227861323,2.28975121997196e-49,2.45683150430429e-47
"LPXN",582.783461344512,-1.9207806533784,0.130204598071501,-14.7520186063138,2.98598089795999e-49,3.18726385900901e-47
"CCN2",4079.35846634111,-1.29795668075801,0.0879917494811939,-14.7508907188556,3.03630724465701e-49,3.22427657459686e-47
"GPRC5B",209.109467911558,1.62833488921407,0.110425959658423,14.7459428403515,3.26724753665799e-49,3.45172135911238e-47
"PHLDA3",2275.54120433512,-2.44399553166438,0.16593113545637,-14.7289749144579,4.20028755981527e-49,4.41480224590583e-47
"CHAF1A",1292.56203194142,1.83003187657643,0.124623704051009,14.684460637018,8.10767661515983e-49,8.47848964207654e-47
"CTNNA1",5159.20636375113,-0.78667620851353,0.0537308240208284,-14.6410598171467,1.53654299913639e-48,1.59870314773782e-46
"CAMK1",588.520411061898,-2.43683830567962,0.166481634539943,-14.6372800364052,1.62437606330931e-48,1.68159654674548e-46
"SLAMF7",286.630864026799,-1.94483454412112,0.132936724461065,-14.6297763240791,1.81382461174739e-48,1.86833004133039e-46
"RFTN1",596.835881716364,-1.66437781780954,0.113913868994421,-14.6108444257218,2.39530591498761e-48,2.44923117462473e-46
"DUSP5",414.996232999713,-1.29683605665632,0.0887595390283181,-14.6106668742677,2.40155670731613e-48,2.44923117462473e-46
"EXT2",2373.14855678519,-0.7411051301605,0.0507646392202566,-14.5988456048118,2.85641090623539e-48,2.89876458518991e-46
"TBX3",1283.41932004914,-1.49857767663461,0.102785914913704,-14.5796014745091,3.78721067880522e-48,3.82452584284638e-46
"TTC9",255.275942853882,1.34247524695905,0.0921928664207034,14.5615956969267,4.92935979955995e-48,4.95364591369436e-46
"ADAMTS16",359.894860731026,-1.57330057148633,0.108138876092426,-14.5488896161787,5.93587301102996e-48,5.93616116020526e-46
"CYB5A",384.168827143683,1.50261885845646,0.1033891654966,14.5336201451967,7.41935225497345e-48,7.38386839636271e-46
"CRYBB1",302.376947138795,-2.90871228850015,0.200629022002636,-14.4979637515351,1.24797353265941e-47,1.2360337858806e-45
"RHBDL3",459.233003360031,1.65005929700126,0.113845828571763,14.4938055061117,1.32588836284232e-47,1.30691991210118e-45
"NRP1",1278.49422133358,-1.47695850202756,0.101977180888044,-14.4832254546146,1.54665630325988e-47,1.51726983349795e-45
"MGST1",399.87504693412,1.78112582684506,0.123026085782931,14.4776273707326,1.67789664655354e-47,1.63821558368007e-45
"CDC25A",751.466924601142,1.16621924870823,0.0805798797125746,14.4728343212734,1.7990334408227e-47,1.74820226011267e-45
"ASNS",1567.31258897063,1.43496125122533,0.0991622964922068,14.4708352063841,1.85209467123772e-47,1.79131466301259e-45
"PLXNA4",109.474737204607,-2.07203036135882,0.143420737651077,-14.4472158998358,2.6102543749848e-47,2.51279674668513e-45
"MLYCD",164.665842494749,-1.63589122473555,0.113248592380038,-14.4451351699441,2.69028988674744e-47,2.57779823055275e-45
"CNIH3",389.198852068446,-1.99248989688198,0.138082032800371,-14.4297549541625,3.36273721104515e-47,3.20721061503431e-45
"ZSWIM6",352.392820467923,-1.54241051952174,0.1069566626963,-14.4208923562001,3.82366635994713e-47,3.63001616042723e-45
"BRI3BP",660.732505263438,0.816752303320744,0.0566563711917951,14.4158950907012,4.11075050575893e-47,3.88465922794219e-45
"LPIN3",266.259725400144,-1.69437765361739,0.117685590643048,-14.3974945816145,5.36534851239263e-47,5.04710249789044e-45
"PDGFA",915.556653621159,-0.880320939882667,0.0612247344932293,-14.3785178844674,7.05900884200683e-47,6.61012005246285e-45
"SESN1",307.731608501669,-2.5916742943617,0.180627894102703,-14.3481398996331,1.09433129896906e-46,1.02010493620188e-44
"HECW2",105.065422165382,-1.88946036057202,0.131755555546091,-14.3406504017286,1.21907572910572e-46,1.13126932861743e-44
"MAMDC4",192.470025342014,-2.02547305885765,0.141419213253874,-14.3224743813385,1.58382045031137e-46,1.46315179806567e-44
"LMNB1",2612.1140234696,1.71611256240674,0.119844599128868,14.3194818530072,1.65351419633097e-46,1.52071633743814e-44
"EXT1",1817.65163714643,-1.14028395330723,0.0796535043674667,-14.3155528731886,1.74967119054979e-46,1.60199894206739e-44
