"","HET_DMSO_1","HET_DMSO_2","HET_DMSO_3","HET_DMSO_4","HET_ETOPO_1","HET_ETOPO_2","HET_ETOPO_3","HET_ETOPO_4","HOM_DMSO_1","HOM_DMSO_2","HOM_DMSO_3","HOM_DMSO_4","HOM_ETOPO_1","HOM_ETOPO_2","HOM_ETOPO_3","HOM_ETOPO_4","KO_DMSO_1","KO_DMSO_2","KO_DMSO_3","KO_DMSO_4","KO_ETOPO_1","KO_ETOPO_2","KO_ETOPO_3","KO_ETOPO_4","PAR_DMSO_1","PAR_DMSO_2","PAR_DMSO_3","PAR_DMSO_4","PAR_ETOPO_1","PAR_ETOPO_2","PAR_ETOPO_3","PAR_ETOPO_4"
"AAMP",10.9143393112893,10.9619565005059,11.0286809487135,10.8552295224066,11.1313951261487,11.2354106227204,11.119488810365,11.0723198593796,11.1068193219957,11.6352707982021,11.6745154228282,12.1840858872666,11.0809436225746,11.0654730983832,11.0243534438862,11.1282189897166,10.9735628526098,11.0860441751767,10.957135561038,11.1053446519839,10.9259695053169,11.1317743872577,11.1299988116934,11.1126155851053,10.9509283603129,10.7395422069479,11.0555175466546,11.0611282391129,11.0570545297182,11.0215634387853,11.0918510150455,10.8925101268115
"AANAT",4.92735610541818,5.12883792482399,5.00410585033616,4.42585021586179,5.43739945732637,5.4928343794401,5.45289148142392,5.40292503980484,5.13123367723266,5.79670044787762,5.85224539213417,6.03752132190506,5.15064677788089,5.10620623390951,5.42542281873039,5.54536712374877,5.33190202561677,5.32219255143059,4.94841501441211,5.28204817626895,5.39829770208047,5.62155565716069,5.61410527601524,5.4339564046674,5.16200254699816,5.1356714726717,5.22461684405224,5.30186025762009,5.46995336831272,5.56258949797869,5.32936003407263,5.57817217120915
"AAR2",11.2153706391958,11.1642134310421,11.4144682286091,11.1858067665042,11.0328031378821,11.1191940275524,11.1538097460828,10.9847252148213,10.7647861222571,11.15971405929,11.3973910965717,11.8705507711427,10.661098469406,10.5917648106356,10.7235752796509,10.7669793630921,10.4626548949851,10.6436613541786,10.5383372828836,10.7395770576794,10.5322055310012,10.8277378912195,10.7337178739418,10.6541173105339,10.6937961611192,10.5145239053364,10.8153460227639,10.6265512835818,10.6891272802483,10.6026483093911,10.7157785434763,10.5140765249601
"AARD",7.87210367490616,7.69575219235323,7.60431789476975,7.63065166352651,7.20340014385552,7.018378642312,7.06245374672722,6.99548763411256,7.3934398134906,7.4985428723559,7.14312358194241,7.25280662320601,8.26400298731321,8.31414121233515,8.25046906903447,8.16982901020082,8.41539238908991,8.36011052622922,8.42960615404805,8.31153646761134,8.16290549088548,8.29133022627441,8.3935794178509,8.28245843090651,7.44101003442022,7.99103013301611,8.14333131650572,7.39155471579064,6.83970697294915,6.93670803950552,6.94057835981033,6.78284813841122
"AARS",11.6990869899029,11.5550311389167,11.8692089801052,11.7258272817676,10.9653623533346,10.9335143418723,11.0460822006761,10.9063478291771,12.1732571877708,12.7458692530592,12.876807418766,13.2169029291118,11.2726783773603,11.2565826535788,11.405045098654,11.564728177189,12.0142517693947,12.1786547917224,12.0324223484643,12.1522227720841,11.4480043872075,11.5361519929961,11.4405416897166,11.4685737607791,11.9471951005248,11.8771926152111,11.9874433648974,12.0749351183391,11.1012991005072,11.1747209927013,11.1762665391205,11.1991198726511
"AARS2",9.35411276568225,8.96863614151302,9.21708171141139,9.32702558731443,9.43403821203893,9.45646562436425,9.4687444563148,9.54430537530131,9.22099906054856,9.64599743331492,9.42814235785679,9.80082206514806,9.14289249636167,9.16632817670777,9.15052286825101,9.22275572132608,9.13171303546936,9.38998819456437,9.24486845119184,9.38879688182725,9.01881578959282,9.2773283526254,8.95847662439397,9.13799729301127,9.12360887929184,9.07757941799789,9.12099770453671,9.09733925681115,9.16863172958176,9.23160866732273,9.25076934704013,9.18946310045206
"AARSD1",8.67958293803068,8.97612508479605,8.81267955328911,8.70424736800984,8.95629002751688,8.68275859961147,8.66026852492839,8.47260987649192,8.87238006666537,9.79664173595276,9.72574655626927,10.2541616128802,8.49764614157949,8.46814743898575,8.33895977688645,8.40617695290372,9.16883447641687,9.39229150719134,9.26954406916333,9.20751496782006,8.75140702597772,8.95720912456933,8.88343342794209,8.72357701806387,9.06052466742501,9.04648202422411,9.47267916016236,9.31913385182275,8.82760540720341,9.01610684471364,8.99862103586179,8.87631164300893
"AARSP1",4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179
"AASDH",7.72937902771245,8.20755806857595,7.58447948744975,7.85889529568472,7.83337431953619,7.74901705960556,7.51796252589212,7.61341632834877,7.58939124266923,6.07705834951653,6.94661588424519,5.59352992406082,7.70429311202895,7.69436921553704,7.73208298297897,7.6415959962947,7.57329375334566,7.4976032421714,7.49280484130931,7.33546455088879,7.67829085632312,7.39879062957482,7.41074134950016,7.68904783611383,7.54177022338456,7.80213220685464,7.65083104076414,7.28015408306868,7.5242745632594,7.47466338907602,7.16395872560066,7.43735324765617
"AASDHPPT",9.72917993555562,10.1079484703916,9.48028998193108,9.75288579441457,10.1492824353753,10.0768889280423,9.85389672632021,10.0684864901392,8.91381645542515,7.81154084940562,8.10912816709245,7.85879506456331,9.71323250567111,9.67357131856672,9.65104959414384,9.30661209377694,8.82554409666853,8.42924542109221,8.74378222970799,8.68109698626319,9.38029502710293,9.32503679780119,9.53078006278566,9.60049125627619,8.85274157450455,9.08466123909468,8.4618179032026,8.78898506665849,9.29374916310462,9.58855668971811,9.25900601855031,9.33020664137002
