"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASB4",6.13780862816952,-0.247083041214339,0.725146732870222,-0.340735233318026,0.733302911843287,0.896162282337665
"NMD3",488.469646516488,0.139725177752195,0.410100005048658,0.34071001227034,0.733321900495827,0.896162282337665
"SCP2",365.303636965264,0.116597580501564,0.34249017070848,0.340440662166651,0.733524701434163,0.896350092170352
"ABCC8",75.5674677238367,0.0777404153847432,0.228402794249003,0.340365430468383,0.733581348726605,0.896359292461454
"GJA10",0.5297281920228,-0.619511770156951,1.8213803843579,-0.340133107547083,0.733756290320468,NA
"P2RY8",12.5221916212653,-0.154106736268216,0.45308673270709,-0.340126349203524,0.733761379630947,0.896479777516581
"ATP2B3",16.8637726513147,0.166021327942012,0.488148695803661,0.340104007998391,0.733778203559931,0.896479777516581
"GULOP",0.245343063159141,-1.40407283807011,4.12837039617034,-0.340103407236082,0.733778655962645,NA
"ZNF253",1.53162955303506,-0.379714215340489,1.1165963300512,-0.340064000857928,0.73380833104957,NA
"AC008687.8",12.3499869800493,0.216502248101552,0.636762199407869,0.340004868855092,0.733852861321224,0.896510969758402
"SUGT1P2",0.699019785026865,0.520301393266733,1.53042091053901,0.339972741932469,0.733877055373833,NA
"NKAP",87.685607574461,0.0710009193121802,0.20893430339909,0.33982413685588,0.73398896990512,0.89661722416484
"IZUMO4",10.4681878558933,0.140585672662206,0.413804015675671,0.339739749583275,0.734052524503555,0.89663484067372
"FOXB2",1.88810264549453,-0.480632431620926,1.4148989795014,-0.339693814600316,0.734087120289599,NA
"C7orf26",2648.30297434542,-0.0521227520939457,0.153454863876289,-0.339661779218453,0.734111247954894,0.896640260195834
"ITGA10",17.0544702623506,-0.119838043045888,0.352888718925204,-0.33959159536434,0.734164108318615,0.896640260195834
"SPON1",16.6369529783543,-0.144771587528625,0.426490832491073,-0.339448298766552,0.734272038909339,0.896640260195834
"PARP15",31.0400555577407,-0.132699849798993,0.390936002047185,-0.339441364070062,0.734277262236251,0.896640260195834
"AC243732.1",8.8207658797839,-0.178684660528491,0.526460266398585,-0.339407685504624,0.734302629657885,0.896640260195834
"GDPD3",19.8417978945902,0.115473415717659,0.34045133306088,0.339177452117686,0.734476054174508,0.896792018776301
